Name,RedBr,GreenBr,BlueBr
00650f55-a307-47d2-a998-47818e891026.jpg,212.06,169.03,156.14
0065cd68-4d48-49ce-ba7a-1c68baa8e675.jpg,0,0,0
006603e8-fb62-44e4-8982-d191aae411d0.jpg,214.99,158.33,160.75
00665c44-a396-4f51-9f37-3ca73a7b7f51.jpg,208.5,145.23,132.87
00668cd0-878a-4267-b1b4-a32b4a8b7be3.jpg,198.02,171.81,170.69
0066cac3-442f-48af-b119-427f990e27df.jpg,214.78,167.05,161.57
00670d39-51fe-4827-a26d-273de122b351.jpg,221.85,167.74,171.44
00674053-0000-4fdb-8cb5-59c2cda3a4d2.jpg,218.28,184.11,176.7
00679f4c-5835-4865-adb0-4225002d4239.jpg,231.34,153.54,153.26
0067a83c-2e68-4fd0-acc2-cbac73f8d4ab.jpg,234.12,209.12,201.42
0067bf0f-e72b-4fa0-914c-bdd001985d34.jpg,190.52,156.64,148.37
0067e4b4-542d-4a8a-a6c4-bd36dab6ecbc.jpg,207.45,184.03,172.38
00695260-0549-4d45-adf5-3f72a47dac0d.jpg,176.67,128.73,119.21
0069d7e9-db05-4745-a75e-8cbd336137ff.jpg,189.96,135.48,130.29
0069f42c-9e2f-43e7-b0fc-3cf527e9eb19.jpg,187.05,132.73,116.21
006a13d6-c9a4-41cf-8f47-af90c112dbd8.jpg,222.2,168.13,157.14
006abdcb-c18d-4ace-b01c-a2549b26af5e.jpg,199.99,152.44,151.63
006c8ea7-9877-4677-a0ea-30af496c40fc.jpg,167.41,121.07,113.63
006c9aef-bdec-4b56-ab36-bb92d052fc1d.jpg,191.26,155.2,130.15
006d04e2-0dd5-4eef-bee7-3c161a44348d.jpg,232.39,174.72,161.99
006d9d61-1057-4d37-95d3-1b0475a75080.jpg,225.87,168.59,137.88
006dab8a-eb2f-406a-9ca3-62009500e6bb.jpg,205.32,142.57,147.69
006de893-32a1-4474-993a-73145cd21952.jpg,173.99,132.57,119.27
006e6de6-5def-4232-adae-c1952e972b88.jpg,199.44,158.28,133.58
006ecc1e-1954-4d5d-a11a-f814adff3b7b.jpg,0,0,0
006f84d8-e336-474c-aedf-b62fba6a75cc.jpg,208.9,147.98,128.04
006fb595-15e3-441d-a1d7-0ddfad949380.jpg,180.93,136.84,124.75
00703f80-64bf-4935-91ce-c46a47586e5c.jpg,198.9,152.07,160.39
0070e506-8a00-4a51-bdd0-1f5383f383f9.jpg,176.14,149.91,144.46
0070fef0-f578-4c81-93a7-770bf3b3d366.jpg,173.11,140.33,127.02
00727261-0cfc-4aa7-9156-601f0c2e4683.jpg,183.15,131.46,127.21
007383ea-924d-4984-83a5-b5247b628720.jpg,221.49,188.96,186.89
0073e883-12e5-4db9-95ac-45fc1dd0f5d8.jpg,170.11,127.01,115.06
0074cbce-8aae-431a-8502-9889f2b3b34a.jpg,187.53,142.85,133.36
00753ffb-a6d0-4ca4-a5a3-a9efb19e4445.jpg,163.19,133,136.11
00760514-4a3c-4c01-9abd-020c2151c23c.jpg,183.59,135.6,115.08
00762458-fa7d-45aa-9a4b-2f84107688bd.jpg,177.27,144.35,136.12
0076ac10-f301-4580-9246-8c5538130a9d.jpg,192.85,162.62,164.28
0078d2e1-1afd-4d8d-ab2f-86590de771a5.jpg,222.8,162.99,158.86
00793bec-cc53-40db-99f5-e0600efebf47.jpg,112.96,63.98,52.41
00795626-987a-4bf9-9412-9552b52a0a99.jpg,223.22,156.23,141.56
007a48f6-9bd1-4acc-90ba-52bb5a84da56.jpg,216.03,170.54,171.75
007abb61-3e9d-4240-a4a4-f2981a1fe4d6.jpg,213.21,167.93,155.31
007ace20-0ddd-4782-a6ec-9d2055258a4e.jpg,151.06,109.95,88.54
007b52a2-f38e-4e7e-81b1-721979a93ca7.jpg,208.33,170.09,184.82
007b680e-e4dd-4a30-9ead-bc85fa4f9a62.jpg,210.66,168.46,140.6
007bd194-97c7-4bae-b768-9fdf335621d6.jpg,164.35,113.91,107.05
007c3d79-52f3-4c96-a1ea-e52f49ed2ade.jpg,197.03,153.97,139.23
007c5d63-d416-4000-a3dc-b7538c069b57.jpg,157.14,133.19,134.51
007cccee-c8e4-42e4-804b-da3ad03ef341.jpg,198.46,160.54,160.29
007df2a2-d79f-4376-8503-287e7d831344.jpg,231.52,197.13,179.96
007df77a-a84e-466f-a3dd-e70653c670fd.jpg,197.58,164.63,171.54
007e1943-18f6-44c2-8d18-2a4857348670.jpg,230.37,185.26,178.24
007e3113-f59a-4b0e-8920-392f8d504f3d.jpg,200.39,162.72,170.67
007f6c92-4771-4f81-a161-d612a9573def.jpg,219.17,152.29,135.97
007fa4f1-027d-4ff9-a96e-ab6108a38497.jpg,208.03,170.65,163.05
007fcfda-78d5-4629-9a68-8fe148a4267e.jpg,200.25,156.04,160.02
00812f84-76e4-4ed3-a702-dc4e69b19e42.jpg,234.87,187.4,166.39
00820f40-40ac-46d7-82bb-bf201c946360.jpg,245.5,187.48,165.66
00823c78-6bde-4b34-9930-f7bc159559ab.jpg,218.72,174.01,160.2
0083cd34-5b10-467e-a5ae-f3ad8a760734.jpg,191.08,131.25,159.94
00847e38-24ba-4546-beb9-20b92d212209.jpg,225.6,173.03,157.93
0084b5f3-8ce9-447c-8df6-c4ff99690bf0.jpg,178.06,140.5,144.72
0084e2d0-d970-45f9-b7fc-639d5a1cbfe8.jpg,154.87,117.13,94.2
0085638a-8d63-4c01-893f-cb78cf71f848.jpg,223.62,184.75,166.08
00858d6f-fd88-4ab8-81a6-afa423339b96.jpg,189.62,146.42,133.96
0085b972-13f2-490e-912c-f53aa54af103.jpg,139.35,92.17,69.06
0085e9cc-276c-4260-971c-8bee51f62b3c.jpg,155.09,156.98,158.46
0086435e-ab36-40b6-86ca-01ac45452ea5.jpg,198.98,156.17,133.98
0086dbf0-0f1d-4db8-9473-85edcfe03e60.jpg,0,0,0
0086fbd6-097d-47ff-8da8-3f0d2f8d970b.jpg,205.85,146.16,149.49
00884507-f06a-44b6-b17e-9b8da4d50428.jpg,183.44,136.65,122.76
008a478b-6fab-4e1b-9068-807b734e5f84.jpg,164.25,112.9,111.17
008a9708-4b67-49b6-8278-79e3bf23f01d.jpg,199.57,162.46,179.49
008ae259-a17e-47ff-8e16-4b4d72c5d695.jpg,189.22,142.13,134.42
008b5b53-6b6d-461d-bcab-6bdb0521a106.jpg,227.96,176.5,166.23
008c7a8b-917b-4da1-86e5-68607cc75ebc.jpg,204.95,155.45,130.08
008c8c1f-072b-4c82-b619-d151a14eeadd.jpg,215.99,180.02,179.6
008cd2c5-ad07-4f80-842a-b2ac837c4258.jpg,189.78,139.9,142.48
008d061d-28df-4c03-8f99-917f42a99629.jpg,243.52,186.82,183.67
008d4a11-205c-4e52-9995-0a2d58b33863.jpg,213.92,172.63,165.36
008df175-9ac6-4631-9f4f-6fc2a1b07eb1.jpg,183.14,147.29,131.75
008e12f9-db35-441d-a185-f0b0e301b1a0.jpg,213.79,158.15,144.27
008e75c8-f0df-402f-8884-ae959a193729.jpg,178.6,132.5,145.52
008ec97c-59ab-4c04-8a97-6b430b042d41.jpg,230.03,194.01,177.27
008f1df6-5862-4f8e-9467-c1f8ad2ccfcd.jpg,195.1,137.63,126.83
009096b4-2ee6-441b-834d-ac8c7535d699.jpg,219,161.81,134.08
00915b2b-c313-4774-81fc-2adbcdc0cc74.jpg,0,0,0
00915f2d-7021-4e0d-a395-f282d4d5623e.jpg,178.81,125.77,111.69
00916697-b4b5-44ce-8a4c-bdabbfdd834f.jpg,215.79,193.21,202.6
00916876-984f-4c90-86ec-02ea7af7132c.jpg,169.47,127.47,101.25
0092c375-a933-4132-a00a-9144b7456c81.jpg,221.2,167.42,166.18
00947679-3929-442d-ab0a-17a592b3e1ec.jpg,168.44,124.11,116.45
0094d1e2-1207-4ffe-b932-8ef9c15c0182.jpg,199.14,148.59,132.94
0094e13b-3f5f-47d9-845b-133d11298b12.jpg,218.26,170.83,161.29
0095950b-a36d-4813-a14c-a5b7591836a0.jpg,153.46,118.75,110.4
0095eee6-9c66-44de-8a5a-e1e3b10a221a.jpg,195.72,153.59,138.48
009606b7-125b-4048-aab0-dd4cd1f5ed7d.jpg,209.16,183.54,180.29
009697a0-ab77-48a9-a10f-ae11b132b4f7.jpg,177.22,142.36,121.06
00970951-b180-4b4d-a91d-12eb690f8369.jpg,172.68,127.26,134.14
00973e5d-8cd3-4872-a92c-7379f6a790e2.jpg,166.08,133.17,114.72
00973fb1-b266-4e30-ad5e-450260b2c3ad.jpg,203.2,161.78,138.04
00974ecf-f1af-4c53-bfc5-eb3842e19e66.jpg,138.68,104.47,100.57
00979ce7-eab3-458c-9164-45529f0227cb.jpg,212.13,168.73,161.22
0097d5cd-d3c5-46b4-b936-6a490008ee8c.jpg,176.73,131,115.3
00983ae3-8348-4328-a046-0b9c1b23631c.jpg,204.41,153.57,146.08
0099b34b-f88b-459e-a1b5-64aa257bbab3.jpg,207.75,174.31,174.36
009a0d10-90e2-4485-8891-417387d93eea.jpg,194.38,153.68,140.19
009a6d9d-2ffb-4faa-aa2a-f995792c2338.jpg,182.14,121.56,96.03
009adbec-a024-4d42-9724-f3448498353c.jpg,182.99,140.51,140.61
